date,cash,market_value,equity
2025-07-18,91.97111955180299,3074244.1293029785,3074336.1004225304
2025-07-21,91.97111955180299,3127321.427154541,3127413.398274093
2025-07-22,469155.21403751406,2587335.7857666016,3056490.999804116
2025-07-23,469155.21403751406,2590876.241027832,3060031.4550653463
2025-07-24,469155.21403751406,2634928.2065429688,3104083.420580483
2025-07-25,469155.21403751406,2605981.2786254883,3075136.4926630026
2025-07-28,469155.21403751406,2620041.2059936523,3089196.4200311666
2025-07-29,469155.21403751406,2561124.4663085938,3030279.680346108
2025-07-30,469155.21403751406,2574521.9809570312,3043677.1949945455
2025-07-31,469155.21403751406,2675203.3692626953,3144358.5833002096
2025-08-04,79.55656476388685,3130265.292602539,3130344.849167303
2025-08-05,79.55656476388685,3182549.9982299805,3182629.5547947446
2025-08-06,79.55656476388685,3218913.3170776367,3218992.873642401
2025-08-07,79.55656476388685,3344814.4916381836,3344894.0482029477
2025-08-08,79.55656476388685,3426650.09954834,3426729.656113104
2025-08-11,79.55656476388685,3528945.7283325195,3529025.2848972837
2025-08-12,79.55656476388685,3458570.3451538086,3458649.9017185727
2025-08-13,79.55656476388685,3445098.0864257812,3445177.6429905454
2025-08-14,79.55656476388685,3516343.2865600586,3516422.8431248227
2025-08-15,79.55656476388685,3521978.2485351562,3522057.8050999204
2025-08-18,79.55656476388685,3657445.0947265625,3657524.6512913266
2025-08-19,79.55656476388685,3605968.411254883,3606047.967819647
2025-08-20,79.55656476388685,3489895.6087646484,3489975.1653294126
2025-08-21,79.55656476388685,3590701.132751465,3590780.689316229
2025-08-22,79.55656476388685,3613685.0056762695,3613764.5622410337
2025-08-25,79.55656476388685,3745517.778076172,3745597.334640936
2025-08-26,79.55656476388685,3827824.712036133,3827904.268600897
2025-08-27,79.55656476388685,3816454.889038086,3816534.44560285
2025-08-28,79.55656476388685,3811157.926940918,3811237.483505682
2025-08-29,79.55656476388685,3989220.9385375977,3989300.495102362
2025-09-01,79.55656476388685,3925860.2713012695,3925939.8278660337
2025-09-02,79.55656476388685,3896897.117248535,3896976.6738132993
2025-09-03,79.55656476388685,3960488.3821411133,3960567.9387058774
2025-09-04,79.55656476388685,3988251.692199707,3988331.248764471
2025-09-05,79.55656476388685,4100892.4728393555,4100972.0294041196
2025-09-08,79.55656476388685,4132362.017272949,4132441.5738377133
2025-09-09,79.55656476388685,4172365.6467285156,4172445.2032932797
2025-09-10,79.55656476388685,4244184.994445801,4244264.551010565
2025-09-11,79.55656476388685,4173925.1029052734,4174004.6594700376
2025-09-12,79.55656476388685,4123350.8743286133,4123430.4308933774
2025-09-15,79.55656476388685,4099031.8198242188,4099111.376388983
2025-09-16,79.55656476388685,4143101.25579834,4143180.812363104
2025-09-17,79.55656476388685,4137763.022644043,4137842.579208807
2025-09-18,79.55656476388685,4261661.959838867,4261741.516403631
2025-09-19,79.55656476388685,4151132.980102539,4151212.536667303
2025-09-22,79.55656476388685,4127289.208129883,4127368.764694647
2025-09-23,79.55656476388685,4155298.5274658203,4155378.0840305844
2025-09-24,79.55656476388685,4054410.4786987305,4054490.0352634946
2025-09-25,79.55656476388685,3991402.2189941406,3991481.7755589047
2025-09-26,79.55656476388685,3909960.5063476562,3910040.0629124204
2025-09-30,79.55656476388685,4084704.0138549805,4084783.5704197446
2025-10-01,79.55656476388685,4213263.632751465,4213343.189316229
2025-10-02,79.55656476388685,4246675.349304199,4246754.905868963
2025-10-03,79.55656476388685,4217200.827880859,4217280.3844456235
2025-10-07,79.55656476388685,4227580.337585449,4227659.894150213
2025-10-08,79.55656476388685,4206120.195068359,4206199.7516331235
2025-10-09,79.55656476388685,4237359.944091797,4237439.500656561
2025-10-13,79.55656476388685,4212433.933349609,4212513.4899143735
2025-10-14,457903.435222937,3757017.272705078,4214920.707928015
2025-10-15,457903.435222937,3908930.289916992,4366833.725139929
2025-10-16,457903.435222937,3934567.3868408203,4392470.822063757
2025-10-17,1131.9764353937353,4258328.286743164,4259460.263178558
2025-10-20,1131.9764353937353,4292637.9931640625,4293769.9695994565
2025-10-21,1131.9764353937353,4353879.372192383,4355011.348627777
2025-10-22,1131.9764353937353,4371259.319702148,4372391.296137542
2025-10-23,1131.9764353937353,4376734.403808594,4377866.380243988
2025-10-27,1131.9764353937353,4500235.515136719,4501367.491572113
2025-10-28,1131.9764353937353,4519400.55859375,4520532.535029144
2025-10-29,1131.9764353937353,4690471.669921875,4691603.646357269
2025-10-30,1131.9764353937353,4784713.593139648,4785845.569575042
